# --- NOVO DATASET 2026-01-15 12:57:29 ---
51079,-4.33,-0.68,0.07,0.00
51099,-4.38,-0.70,0.10,0.00
51119,-4.43,-0.72,0.12,0.00
51139,-4.53,-0.73,0.11,0.00
51159,-4.65,-0.75,0.08,0.00
51179,-4.76,-0.77,0.04,0.00
51199,-4.87,-0.79,-0.01,0.00
51219,-4.90,-0.81,-0.07,0.00
51239,-4.83,-0.83,-0.12,0.00
51259,-4.70,-0.85,-0.16,0.00
51279,-4.57,-0.88,-0.18,0.00
51299,-4.50,-0.90,-0.18,0.00
51319,-4.48,-0.92,-0.16,0.00
51339,-4.51,-0.93,-0.11,0.00
51359,-4.57,-0.95,-0.05,0.00
51379,-4.60,-0.97,0.04,0.00
51399,-4.60,-0.99,0.13,0.00
51419,-4.58,-1.00,0.22,0.00
51439,-4.55,-1.02,0.30,0.00
51459,-4.54,-1.03,0.37,0.00
51479,-4.51,-1.04,0.41,0.00
51499,-4.44,-1.06,0.42,0.00
51519,-4.40,-1.07,0.40,0.00
51539,-4.47,-1.08,0.36,0.00
51559,-4.47,-1.08,0.29,0.00
51579,-4.37,-1.09,0.22,0.00
51599,-4.24,-1.09,0.13,0.00
51619,-4.17,-1.10,0.04,0.00
51639,-4.17,-1.10,-0.04,0.00
51659,-4.17,-1.10,-0.11,0.00
51679,-4.19,-1.10,-0.16,0.00
51699,-4.26,-1.09,-0.20,0.00
51719,-4.35,-1.09,-0.22,0.00
51739,-4.41,-1.08,-0.23,0.00
51759,-4.47,-1.07,-0.22,0.00
51779,-4.56,-1.06,-0.21,0.00
51799,-4.68,-1.05,-0.21,0.00
51819,-4.79,-1.04,-0.20,0.00
51839,-4.90,-1.03,-0.20,0.00
51859,-5.02,-1.02,-0.21,0.00
51879,-5.11,-1.01,-0.22,0.00
51899,-5.16,-0.99,-0.23,0.00
51919,-5.16,-0.98,-0.25,0.00
51939,-5.11,-0.97,-0.26,0.00
51959,-5.03,-0.96,-0.26,0.00
51979,-4.92,-0.95,-0.25,0.00
51999,-4.81,-0.93,-0.22,0.00
52019,-4.74,-0.92,-0.18,0.00
52039,-4.69,-0.90,-0.11,0.00
52059,-4.64,-0.89,-0.03,0.00
52079,-4.59,-0.87,0.06,0.00
52099,-4.52,-0.86,0.17,0.00
52119,-4.45,-0.84,0.27,0.00
52139,-4.41,-0.82,0.36,0.00
52159,-4.40,-0.80,0.44,0.00
52179,-4.39,-0.78,0.49,0.00
52199,-4.33,-0.75,0.52,0.00
52219,-4.28,-0.73,0.52,0.00
52239,-4.31,-0.70,0.49,0.00
52259,-4.34,-0.68,0.43,0.00
52279,-4.27,-0.65,0.35,0.00
52299,-4.14,-0.62,0.25,0.00
52319,-4.03,-0.59,0.14,0.00
52339,-3.97,-0.56,0.04,0.00
52359,-3.89,-0.53,-0.07,0.00
52379,-3.76,-0.50,-0.15,0.00
52399,-3.61,-0.47,-0.22,0.00
52419,-3.45,-0.43,-0.27,0.00
52439,-3.29,-0.40,-0.30,0.00
52459,-3.18,-0.36,-0.30,0.00
52479,-3.14,-0.32,-0.28,0.00
52499,-3.23,-0.28,-0.25,0.00
52519,-3.26,-0.24,-0.21,0.00
52539,-3.27,-0.20,-0.16,0.00
52559,-3.18,-0.15,-0.12,0.00
52579,-2.98,-0.11,-0.09,0.00
52599,-2.83,-0.06,-0.07,0.00
52619,-2.72,-0.02,-0.06,0.00
52639,-2.59,0.03,-0.07,0.00
52659,-2.45,0.08,-0.09,0.00
52679,-2.27,0.13,-0.11,0.00
52699,-2.06,0.18,-0.13,0.00
52719,-1.84,0.23,-0.14,0.00
52739,-1.62,0.28,-0.14,0.00
52759,-1.39,0.33,-0.13,0.00
52779,-1.16,0.39,-0.10,0.00
52799,-0.93,0.45,-0.05,0.00
