dt_seconds,value
159.892203,85.00
161.304901,88.00
162.363780,83.00
163.141013,85.00
164.374508,78.00
165.556117,76.00
167.503486,73.00
168.157916,75.00
170.907996,73.00
171.910521,69.00
174.983113,71.00
175.624530,73.00
177.100863,76.00
178.503947,78.00
179.040575,85.00
181.323411,83.00
182.388947,85.00
184.741150,83.00
186.697665,78.00
187.440359,76.00
189.306682,75.00
190.572907,76.00
193.436797,75.00
194.949941,76.00
195.656886,78.00
196.871376,81.00
197.702625,78.00
198.539386,81.00
199.039010,83.00
200.338276,88.00
200.836487,90.00
202.824762,88.00
203.668432,85.00
204.271198,90.00
206.185135,93.00
207.784517,88.00
208.472289,90.00
209.070625,93.00
209.637307,90.00
210.371183,93.00
211.706081,88.00
213.102028,85.00
# --- NOVO DATASET 2025-11-12 18:37:29 ---
0.000000,73.00
0.001187,75.00
0.001967,69.00
0.002727,69.00
0.003098,66.00
0.004861,65.00
0.005632,66.00
0.006542,68.00
0.605451,66.00
1.402157,69.00
# --- NOVO DATASET 2025-11-12 18:37:42 ---
0.000000,66.00
0.001677,65.00
0.002439,63.00
0.002808,65.00
0.003177,63.00
0.004134,65.00
0.005059,63.00
0.005507,65.00
2.149117,66.00
2.733237,68.00
3.278335,71.00
4.971480,73.00
7.433080,75.00
8.032811,78.00
8.752093,81.00
13.000260,83.00
14.182661,85.00
14.850134,83.00
15.754911,81.00
16.422827,85.00
16.965877,88.00
18.056606,90.00
20.836502,93.00
23.719749,90.00
24.862600,85.00
26.682110,83.00
28.859300,81.00
30.487502,78.00
31.884678,76.00
33.695749,75.00
34.301453,76.00
35.879920,75.00
37.451493,76.00
38.356436,75.00
39.020775,78.00
42.403397,81.00
43.252009,78.00
43.917731,81.00
44.641090,83.00
46.146971,81.00
49.237889,83.00
52.259868,81.00
54.979654,83.00
55.884937,81.00
57.096108,76.00
58.550753,78.00
59.458705,76.00
62.423388,78.00
65.857596,81.00
66.640430,78.00
67.485755,76.00
67.967859,81.00
68.511668,85.00
70.204754,83.00
75.526703,78.00
76.476615,76.00
81.369010,75.00
82.240250,73.00
83.040829,75.00
83.813982,76.00
84.236684,78.00
85.869369,76.00
86.415084,78.00
87.138645,83.00
87.805104,85.00
89.974149,83.00
90.638498,85.00
91.840740,88.00
95.589279,85.00
98.312315,81.00
101.753942,83.00
102.841366,78.00
103.385981,81.00
104.772126,78.00
107.784577,75.00
110.740057,71.00
111.403630,75.00
114.367492,73.00
114.851549,75.00
115.567762,76.00
116.523354,73.00
117.370881,71.00
118.932198,75.00
119.599442,73.00
120.264017,76.00
121.597256,78.00
122.260159,83.00
122.926067,85.00
123.530435,83.00
124.194379,85.00
125.037868,83.00
125.765707,85.00
127.406017,90.00
128.921868,93.00
129.708025,90.00
130.552417,88.00
132.424249,90.00
133.394191,88.00
134.118849,85.00
136.164500,88.00
137.553055,85.00
139.007800,83.00
139.610678,85.00
140.094749,88.00
141.052633,85.00
141.526509,88.00
148.996475,85.00
150.925245,83.00
153.941966,81.00
159.846424,81.00
160.933986,83.00
162.437525,78.00
162.921478,83.00
163.584192,81.00
164.674126,78.00
165.337564,81.00
166.487797,78.00
168.117046,81.00
169.873179,83.00
170.902948,81.00
171.448128,83.00
175.439044,76.00
176.770052,81.00
177.678567,78.00
178.342071,81.00
179.491908,76.00
180.092414,81.00
182.503147,83.00
183.407787,81.00
183.890809,83.00
185.647288,78.00
188.240935,81.00
189.381820,83.00
190.472791,88.00
191.919283,85.00
192.762982,83.00
193.784542,81.00
197.231781,83.00
198.865082,85.00
200.467210,83.00
201.594476,78.00
204.446127,76.00
# --- NOVO DATASET 2025-11-12 18:42:33 ---
0.000000,75.00
0.001344,73.00
0.002502,75.00
0.003247,73.00
0.004000,76.00
0.004563,73.00
0.005012,76.00
0.005589,81.00
0.006137,78.00
0.007590,83.00
9.233361,81.00
9.895947,83.00
10.610924,85.00
11.099631,88.00
13.179565,90.00
14.626292,96.00
15.161394,93.00
15.960462,90.00
16.993876,88.00
# --- NOVO DATASET 2025-11-12 18:43:05 --- PRIMEIRO
0.000000,88.00
0.002129,90.00
0.002775,88.00
0.003162,85.00
0.003952,83.00
0.004406,81.00
0.005058,78.00
0.006747,81.00
0.007654,83.00
0.008099,81.00
0.332810,83.00
1.067143,81.00
2.738500,83.00
3.683828,81.00
4.484998,83.00
6.740411,85.00
8.421212,88.00
9.082775,85.00
10.828432,83.00
11.632643,81.00
12.615643,78.00
13.836757,81.00
14.335944,83.00
14.983187,85.00
15.479691,88.00
17.627538,83.00
18.121565,85.00
18.800522,83.00
21.532125,81.00
22.299353,85.00
23.624232,88.00
24.449496,85.00
25.598819,83.00
26.198663,81.00
27.198611,78.00
28.281934,81.00
29.099357,85.00
29.632314,83.00
32.139206,81.00
37.247512,83.00
38.581723,85.00
39.282904,83.00
40.348783,81.00
42.237720,76.00
42.790131,78.00
44.147420,81.00
45.953686,76.00
46.438094,78.00
47.664082,76.00
48.446831,75.00
49.966196,76.00
52.614949,78.00
53.275633,81.00
53.824206,83.00
55.583062,85.00
56.196910,83.00
56.696961,90.00
57.830563,96.00
58.731005,93.00
59.253358,96.00
# --- NOVO DATASET 2025-11-12 18:49:35 ---
0.001099,78.00
0.001986,76.00
0.002923,78.00
0.003597,76.00
0.005472,75.00
0.006191,76.00
0.007164,76.00
0.008082,75.00
3.747628,73.00
4.894046,69.00
5.549583,73.00
7.865853,71.00
8.466390,75.00
9.766875,76.00
# --- NOVO DATASET 2025-11-12 18:49:57 ---
0.000000,78.00
0.001435,81.00
0.003220,83.00
0.003813,88.00
0.005524,85.00
0.006215,88.00
0.006681,85.00
0.007176,83.00
0.547833,85.00
3.643498,83.00
4.466188,81.00
5.300448,78.00
6.239037,76.00
17.686838,76.00
20.120657,75.00
# --- NOVO DATASET 2025-11-12 18:50:29 --- SEG
0.000999,76.00
0.001390,75.00
0.002159,73.00
0.002536,75.00
0.003730,78.00
0.004427,76.00
2.212788,75.00
3.598582,73.00
4.199379,76.00
6.308062,75.00
7.499174,76.00
8.996223,75.00
11.028676,76.00
12.548259,78.00
13.566597,76.00
14.232967,81.00
15.400166,83.00
16.198483,81.00
20.108300,76.00
23.822946,75.00
26.045649,76.00
33.414046,120.00
34.664947,103.00
35.315532,96.00
36.180372,88.00
36.764800,83.00
37.790677,76.00
38.448789,73.00
39.447262,68.00
40.047852,65.00
40.780705,73.00
41.715838,71.00
42.630822,69.00
43.498489,68.00
44.314045,71.00
46.785652,73.00
47.481723,75.00
48.080824,76.00
49.894259,75.00
51.897361,73.00
54.798122,75.00
55.400384,76.00
